┣,┳,┃,╏,┇,┋,┏,┓,,,,,,,,,,,,,,,,,,
┻,┫,━,╍,┅,┉,┗,┛,,,,,,,,,,,,,,,,,,
##map starts below##,,,,,,,,,,,,,,,,,,,,,,,,,
╔,═,═,═,═,═,═,═,═,═,═,═,═,═,═,═,═,═,═,═,═,═,═,═,═,═
║,,,,,,,,,,,,,,,,,,,,,,,,,
║,,,┏,━,╍,━,┳,━,╍,━,━,━,╍,━,┓,,,,,,,,,,
║,,,┃,,o,,┃,,,,,,,,┃,,,,,,,,,,
║,,,╏,,,,┃,,,,,,,,╏,,,,,,,,,,
║,,,┣,━,┉,━,┛,,,,,,,,┃,,,,,,,,,,
║,,,┃,,,,,,,,,,,,┃,,,,,,,,,,
║,,,╏,,,,,,,,,,,,╏,,,,,,,,,,
║,,,┃,,,,,,,,,,,,┃,,,,,,,,,,
║,,,┗,━,╍,━,━,━,╍,━,━,━,╍,━,┛,,,,,,,,,,
║,,,,,,,,,,,,,,,,,,,,,,,,,
║,,,,,,,,,,,,,,,,,,,,,,,,,
║,,,,,,,,,,,,,,,,,,,,,,,,,
║,,,,,,,,,,,,,,,,,,,,,,,,,
║,,,,,,,,,,,,,,,,,,,,,,,,,
║,,,,,,,,,,,,,,,,,,,,,,,,,
║,,,,,,,,,,,,,,,,,,,,,,,,,
